0,1,2,3
1,107,10619,1
1,1505,8669,0
1,245,11934,1
1,2478,12291,1
1,2311,11342,0
1,1666,7361,0
1,2287,10532,1
1,2686,8402,1
1,1742,11544,1
1,1714,8720,0
1,1746,8207,0
1,1917,8255,1
1,1582,11590,1
1,1944,10675,1
1,170,7626,0
1,1964,7849,1
1,1387,10198,0
1,1527,7082,0
1,2287,11714,0
1,1740,8427,0
1,1627,6341,0
1,1245,11627,0
1,2098,9916,1
1,2315,10502,1
1,1518,10621,1
1,2661,10565,1
1,132,6768,1
1,469,7374,1
1,2078,11269,0
1,2653,10370,1
1,2047,11732,1
1,2146,8398,1
1,1712,7036,1
1,1719,6465,1
1,438,7642,1
1,2189,10142,0
1,1422,8427,1
1,2610,7179,0
1,1705,8995,1
1,1229,10903,0
1,1027,10100,1
1,2478,7500,1
1,603,10379,1
1,2527,11256,1
1,2518,8350,1
1,2224,10488,1
1,550,7800,1
1,1679,7114,0
1,2547,12113,1
1,1249,10583,1
1,1276,8698,1
1,2411,11164,0
1,1258,6597,1
1,2100,8200,1
1,1779,11636,1
1,2413,7803,0
1,2247,6549,1
1,97,12090,1
1,2626,7602,1
1,1782,8757,1
1,1481,11666,1
1,561,9418,1
1,1187,5769,1
1,2188,8276,1
1,2167,5936,0
1,2194,11883,0
1,2612,8453,1
1,1124,6152,0
1,2504,8782,1
1,402,5640,1
1,2547,10813,1
1,1630,8625,0
1,1865,9205,1
1,2346,11627,1
1,2044,8667,1
1,1468,10994,0
1,2679,5769,1
1,2190,6759,1
1,2519,9319,1
1,1547,12294,0
1,2041,8548,0
1,1619,6977,1
1,2400,7711,1
1,435,8212,1
1,1740,10049,0
1,2273,7802,1
1,2160,10526,0
1,1404,6356,1
1,1253,10813,1
1,1964,12250,1
1,837,7509,1
1,1468,5626,1
1,1479,11774,1
1,740,8996,1
1,1258,9156,1
1,195,8498,1
1,584,10502,0
1,2258,11193,0
1,2356,10223,1
1,853,6696,1
1,2476,10257,0
1,1146,10476,0
1,956,11078,1
1,1304,10263,1
1,722,9003,1
1,1315,7240,0
1,1786,6115,0
1,1636,7439,1
1,1810,7994,0
1,1081,6216,1
1,421,9712,1
1,1645,6265,1
1,1128,9633,0
1,483,9467,0
1,2145,6820,1
1,2412,7343,1
1,2158,8105,0
1,1630,8251,1
1,1088,6803,0
1,401,12035,1
1,247,10922,1
1,2369,7246,1
1,1290,6553,1
1,2177,9735,1
1,534,11171,1
1,2323,8956,0
1,2106,7621,0
1,2353,9844,1
1,2605,12080,1
1,452,9786,1
1,2321,9178,1
1,2274,7096,0
1,1701,10061,0
1,2276,12073,1
1,1671,12213,1
1,2681,12315,1
1,842,10998,0
1,1068,9461,1
1,2188,5911,0
1,1823,12303,1
1,842,8968,1
1,2108,9833,0
1,996,12033,0
1,1683,5931,0
1,1754,11506,0
1,1431,5874,1
1,2649,5611,0
1,2401,11346,1
1,2712,9477,1
1,1235,6030,1
1,1221,10072,0
1,1742,6951,1
1,1207,6550,1
1,853,7137,1
1,2427,7811,0
1,1547,8091,1
1,2683,7879,0
1,2432,7432,0
1,1290,10839,1
1,534,10379,1
1,2688,8546,1
1,656,11271,1
1,1171,9776,1
1,1630,8138,0
1,1949,8052,0
1,33,8156,1
1,460,8984,0
1,1468,11582,1
1,2556,8455,1
1,2163,6759,0
